Original,Square,Cubed
0.0,0.0,0.0
0.1,0.010000000000000002,0.0010000000000000002
0.2,0.04000000000000001,0.008000000000000002
0.30000000000000004,0.09000000000000002,0.027000000000000014
0.4,0.16000000000000003,0.06400000000000002
0.5,0.25,0.125
0.6000000000000001,0.3600000000000001,0.2160000000000001
0.7000000000000001,0.4900000000000001,0.3430000000000001
0.8,0.6400000000000001,0.5120000000000001
0.9,0.81,0.7290000000000001
1.0,1.0,1.0
1.1,1.2100000000000002,1.3310000000000004
1.2000000000000002,1.4400000000000004,1.7280000000000009
1.3,1.6900000000000002,2.197
1.4000000000000001,1.9600000000000004,2.7440000000000007
1.5,2.25,3.375
1.6,2.5600000000000005,4.096000000000001
1.7000000000000002,2.8900000000000006,4.913000000000001
1.8,3.24,5.832000000000001
1.9000000000000001,3.6100000000000003,6.859000000000002
2.0,4.0,8.0
2.1,4.41,9.261000000000001
2.2,4.840000000000001,10.648000000000003
2.3000000000000003,5.290000000000001,12.167000000000003
2.4000000000000004,5.760000000000002,13.824000000000007
2.5,6.25,15.625
2.6,6.760000000000001,17.576
2.7,7.290000000000001,19.683000000000003
2.8000000000000003,7.840000000000002,21.952000000000005
2.9000000000000004,8.410000000000002,24.38900000000001
3.0,9.0,27.0
3.1,9.610000000000001,29.791000000000004
3.2,10.240000000000002,32.76800000000001
3.3000000000000003,10.890000000000002,35.93700000000001
3.4000000000000004,11.560000000000002,39.30400000000001
3.5,12.25,42.875
3.6,12.96,46.656000000000006
3.7,13.690000000000001,50.653000000000006
3.8000000000000003,14.440000000000001,54.872000000000014
3.9000000000000004,15.210000000000003,59.31900000000002
4.0,16.0,64.0
4.1000000000000005,16.810000000000006,68.92100000000002
4.2,17.64,74.08800000000001
4.3,18.49,79.50699999999999
4.4,19.360000000000003,85.18400000000003
4.5,20.25,91.125
4.6000000000000005,21.160000000000004,97.33600000000003
4.7,22.090000000000003,103.82300000000001
4.800000000000001,23.040000000000006,110.59200000000006
4.9,24.010000000000005,117.64900000000003
5.0,25.0,125.0
5.1000000000000005,26.010000000000005,132.65100000000004
5.2,27.040000000000003,140.608
5.300000000000001,28.090000000000007,148.87700000000007
5.4,29.160000000000004,157.46400000000003
5.5,30.25,166.375
5.6000000000000005,31.360000000000007,175.61600000000004
5.7,32.49,185.193
5.800000000000001,33.64000000000001,195.11200000000008
5.9,34.81,205.37900000000005
6.0,36.0,216.0
6.1000000000000005,37.21000000000001,226.98100000000005
6.2,38.440000000000005,238.32800000000003
6.300000000000001,39.69000000000001,250.04700000000008
6.4,40.96000000000001,262.14400000000006
6.5,42.25,274.625
6.6000000000000005,43.56000000000001,287.4960000000001
6.7,44.89,300.76300000000003
